,heading,content,keyword
31,MIT 机器人以前所未有的精度跟踪移动物体,近日，机器之心获悉，麻省理工学院开发的一种新型机器人系统使用 RFID 标签，能以前所未有的速度和准确度帮助机器人跟踪移动物体。该系统能使从事包装和装配的机器人以及执行搜索和救援任务的大量无人机实现更大的协作和精确度。,"[('机器人', 0.6694849462657895), ('RFID', 0.31459914481315787), ('精确度', 0.2644876329026316), ('麻省理工学院', 0.26132594048473684), ('系统', 0.2610620754905263)]"
32,"为培养下一代 AI 专家 英国政府 1.1 亿英镑资助研究机构 200 名硕士和 1,000 名博士",近日，英国政府政府宣布多达 200 个 AI 硕士课程和实习项目，包括 Deepmind 和 BAE Systems 在内的英国科技公司也大力支持该人才培育项目。该方案是英国政府现代工业战略计划的一部分。（每日邮报）,"[('英国政府', 0.52783478353875), ('200', 0.373586484465625), ('AI', 0.373586484465625), ('Deepmind', 0.373586484465625), ('BAE', 0.373586484465625)]"
33,谷歌展示低温 CMOS 单量子比特控制器,本周，Google 在旧金山举行的国际固态电路会议上展示了他们的第一代低温 CMOS 单量子比特控制器。采用商用 CMOS 技术制造，其控制器以 3 开尔文运行，功耗不到 2 毫瓦，尺寸仅为 1 毫米×1.6 毫米。从功能上讲，它为单量子位门操作提供指令集，通过室温和 3 开尔文之间的数字线路提供量子比特的模拟控制，与目前的室温控制电子设备相比，功耗降低约 1000 倍。,"[('量子', 0.4535512591178948), ('CMOS', 0.4194655264175438), ('比特', 0.36010847341052626), ('功耗', 0.36010847341052626), ('开尔文', 0.35919705283508774)]"
34,DeepMind新论文：通过竞争实现紧急协调,DeepMind 今天发布了最新论文 Emergent Coordination Through Competition，以下是论文摘要：我们通过引入具有连续模拟物理学的具有挑战性的竞争性多智能体足球环境来研究强化学习者中合作行为的出现。我们证明，通过共同发挥分散的，基于人口的训练可以导致代理人的行为发展：从随机，简单的追球，最后显示合作的证据。我们的研究强调了在连续控制的大规模多智能体培训中遇到的几个挑战。特别是，我们证明了简单塑造奖励的自动优化，而不是自身有利于合作行为，可以导致长期的团队行为。我们进一步应用以游戏理论原则为基础的评估方案，该方案可以在没有预定义的评估任务或人类基线的情况下评估代理绩效。,"[('行为', 0.21123486155215687), ('评估', 0.20343787313882356), ('我们', 0.16624107681323527), ('合作', 0.1620508290332353), ('论文', 0.14355738117588235)]"
35,OpenAI 限制新算法发布，AI 社区引热议,研究实验室 OpenAI 最近决定限制新算法的发布，这引起了 AI 社区的争议。该非营利组织表示，由于对「恶意应用程序」的担忧，它决定不分享该程序的完整版本，这是一种名为 GPT-2 的文本生成算法。但许多人工智能研究人员批评了这一决定，指责实验室夸大危险 这项工作构成了无意中引发了人工智能的「大规模歇斯底里」。批评主要围绕几个关键点。首先，通过隐瞒模型，OpenAI 阻止其他研究人员复制他们的工作。其次，模型本身并不像 OpenAI 所说的那样构成威胁。第三，OpenAI 没有采取足够的措施来抵制媒体炒作和歪曲这种 AI 新闻的倾向。（The Verge）,"[('OpenAI', 0.5433985228590908), ('AI', 0.2716992614295454), ('人工智能', 0.21495514535204546), ('算法', 0.1975270795256818), ('实验室', 0.1713494357818182)]"
36,SC-FEGAN - 使用用户草图和颜色进行面部编辑的生成对抗网络,近期一篇有关 GAN 的新论文引起网上的热议。两位来自韩国电子和电信研究所的研究员提出了 SC-FEGAN - 一种使用用户草图和颜色进行面部编辑的生成对抗网络。该系统包括端到端可训练的卷积网络。与现有方法相反，系统完全利用具有颜色和形状的自由形式用户输入。这允许系统响应用户的草图和颜色输入，使用它作为生成图像的指南。在特定工作中，研究员训练网络具有额外的风格损失，这使得可以生成逼真的结果，尽管图像的大部分被移除。研究员提出的网络架构 SC-FEGAN 非常适合使用直观的用户输入生成高质量的合成图像。,"[('用户', 0.2934338095664516), ('生成', 0.29183206562537634), ('网络', 0.26707430341720434), ('SC', 0.25709177425591395), ('FEGAN', 0.25709177425591395)]"
37,英国人工智能领域风投五年内翻近六倍,"据外媒报道，周四公布的一份数据显示，英国人工智能领域的风险投资从2014年到2018年几乎翻了六倍。

根据市场情报公司Dealroom的研究发现，2018年英国人工智能创业公司的投资达到创纪录的9.97亿英镑（13亿英镑），自2014年以来持续上涨，当时投资仅为1.53亿英镑。

根据Dealroom的数据，对人工智能的最大兴趣来自2016年至2017年，当时英国公司的风险投资资金几乎翻了一番，从5亿英镑增加到超过9亿英镑。","[('亿英镑', 0.7142945592790323), ('人工智能', 0.45764643849145165), ('2014', 0.38563766138387096), ('2018', 0.38563766138387096), ('Dealroom', 0.38563766138387096)]"
38,索尼加强图像传感器等芯片业务：投入40%新招工程师,索尼公司周四表示，接下来两年，公司将把在日本新招聘的40%工程师分配给图像传感器等芯片业务。该公司目前正从汽车、手机等新应用场景中寻找增长点。索尼此前表示，计划在截至2021年3月的三年内向图形传感器业务投资约54亿美元。今明两年，索尼计划每年在日本招聘320名新工程师，高于2018年的250名。这一数据不包含索尼海外部门招聘的工程师。,"[('索尼', 0.5095352603578949), ('招聘', 0.43411518272157895), ('工程师', 0.41042731880842104), ('传感器', 0.29708616310245617), ('索尼公司', 0.2124371611)]"
39,Market Research Future：到2022年底，全球工业物联网市场将达6.5亿美元,研究机构Market Research Future最新全球工业物联网平台市场报告，内容涵盖历史市场趋势，当前市场动态，以区域划分市场估值，关键参与者的市场份额分析，竞争格局和供应链分析。报告预测，到2022年底，全球工业物联网（IoT）平台市场将达到6.5亿美元的价值，预计2016-2022年市场的复合增长率将达到23％。,"[('2022', 0.4597987501115384), ('联网', 0.2821312569976923), ('市场', 0.2555563344676923), ('平台', 0.2401669417519231), ('Market', 0.2298993750557692)]"
40,5G商用「元年」来临，如何开启智慧医疗时代？,当前，第五代移动通信技术（5G）正在阔步前行，它将以全新的网络架构，提供至少十倍于4G的峰值速率、毫秒级的传输时延和千亿级的连接能力，开启万物广泛互联、人机深度交互的新时代。2019年被称为5G商用的元年，通过提供更快的连接和更高的带宽，5G无线网络的发展将改善远程医疗和远程护理。5G代表了一种全新的数字医疗网络，它的到来，将把医疗模式提升到一个新的高度，并为整个行业带来显著的经济效益。动脉网摘编了国内外多份有关「5G+医疗」的行业报告和深度研究，力求详尽展示5G技术在医疗领域的前沿动态和落地实践。,"[('5G', 0.7969845001933333), ('医疗', 0.36538039365388886), ('远程', 0.18023816624622221), ('全新', 0.16291547181244445), ('深度', 0.15461233842577776)]"
