,heading,content,keyword
0,48线Argus车规级验证，128线Omini商业化量产，流深光电首次公布激光雷达布局,2月25日消息，流深光电首次对外透露两款激光雷达产品车规验证及量产计划：面向前装市场，与车和家合作，于今年完成48线激光雷达Argus的车规级验证；面向自动驾驶测试运营市场，于今年实现128线激光雷达Omini的商业量产。无锡流深光电科技有限公司是一家专注于精密激光，光电传感等核心技术研发的创新企业，面向测绘、工业机器人、汽车ADAS、军民用无人系统等行业市场，提供高性能、高可靠性的激光，光电传感技术及应用方案。,"[('激光雷达', 0.47019294158108105), ('光电', 0.4335213332745946), ('流深', 0.3231018244027027), ('面向', 0.30468175349918925), ('传感', 0.2576008053921621)]"
1,最新论文：克服多模型遗忘,在论文《Overcoming Multi-Model Forgetting》中，研究者确定了一种现象，称之为「多模型遗忘」。这种现象发生在顺序地训练具有部分共享参数的多个深度网络时：由于共享参数的覆盖，先前训练的模型的性能随着优化后续模型而降低。为了克服这个问题，研究者引入了统计学上合理的权重可塑性损失，根据共享参数对先前模型的重要性来规范学习模型的共享参数，并证明其在按顺序训练两个模型和进行神经结构搜索时的有效性。在神经结构搜索中增加权重可塑性可以在搜索结束时保留最佳模型，并在自然语言处理和计算机视觉任务中产生改进的结果。,"[('模型', 0.5354688488988764), ('共享', 0.37280339710921345), ('参数', 0.31437862362516855), ('搜索', 0.25177572708), ('可塑性', 0.22785342778202244)]"
2,UCL等研究人员发表新论文 : 在线元学习,智能系统的核心功能是能够不间断地建立以前的经验基础之上，加速和增强新任务的学习。元学习将此问题视为学习先前的模型参数，该模型参数适合于在新任务上快速适应，但通常假设该组任务可作为批处理一起使用。相比之下，在线（regret based）学习则考虑了一个接一个地揭示问题的顺序设置，但是传统上只训练一个模型而没有任何特定任务的适应。在论文《Online Meta-Learning》中，伦敦大学学院（UCL）等研究人员引入了一个在线元学习设置，它融合了上述两种范式的思想，以更好地捕捉持续终身学习的思想和实践。研究者建议遵循元领导（meta leader）算法，该算法将MAML算法扩展到此设置。从理论上讲，这项工作提供了一个O（logT）regret保证，与标准在线设置相比，只有一个额外的高阶平滑度假设。研究者对三种不同的大规模任务的实验评估表明，所提出的算法明显优于基于传统在线学习方法的替代方案。,"[('学习', 0.30405893773210524), ('算法', 0.2613892180189474), ('在线', 0.2407074822357895), ('任务', 0.2113914094406015), ('设置', 0.19108882810406017)]"
3,终生强化学习的生成记忆,论文《Generative Memory for Lifelong Reinforcement Learning》的研究重点是理解「生物记忆转移」，并将之应用到新的AI系统，从而在整个场景生命体验上从根本上改善其性能。研究人员利用当前对生物记忆转移的理解获得了用于记忆合并和重放的AI算法，提出使用生成存储器（可以在批量样本中调用）以伪排练的方式训练多任务代理。我们展示的结果激发了对生成记忆的潜在空间的任务不可知分离的需求，以解决终身学习中灾难性遗忘的问题。,"[('记忆', 0.42636155890742855), ('AI', 0.34156478579714283), ('生成', 0.19385987216542858), ('转移', 0.17870862362257142), ('理解', 0.1726738224877143)]"
4,筋斗云自动驾驶无人车与康师傅达成合作,2月25日消息，筋斗云无人车与康师傅达成合作，筋斗云无人车通过视觉算法技术的自动驾驶，现场实现了自动回到康师傅站点补货，取代人力成本。此次活动现场签下了十多家实体超市和快消品品牌商，接下来，筋斗云将开始在新物流/新零售有更深的布局。（36氪）,"[('筋斗云', 0.70931326703), ('康师傅', 0.49690198805714286), ('无人', 0.32950818625), ('自动', 0.3086331937647619), ('现场', 0.30058828450666664)]"
5,特朗普将延长中国商品关税的最后实施期限,美国当地时间 2 月 24 日下午，第七轮中美经贸高级别磋商在美国首都华盛顿结束。美国总统特朗普表示，「美国在与中国的贸易谈判中就包括知识产权保护、技术转让、农业、服务业、汇率等重要结构性问题，以及很多其他议题取得巨大的进展。由于磋商取得实质性进展，美国将延长原定于 3 月 1 日对中国商品加征关税的最后实施期限。」,"[('美国', 0.3996727145826923), ('磋商', 0.32972313396884617), ('特朗普', 0.2673207240769231), ('进展', 0.2421263571984615), ('24', 0.2298993750557692)]"
6,赛灵思联手三星实现全球首例5G NR商用部署,2月25日消息，自适应和智能计算企业赛灵思公司与三星电子有限公司宣布加深合作，携手在韩国完成全球首例5G新无线电商用部署，2019 年起将陆续在全球其他国家展开部署。双方合作除了为解决新一代 5G mMIMO 系统数倍增长的计算强度需求外，同时也致力于促成业界采用机器学习算法最大化波束成形增益的效能，从而进一步提升系统的容量和性能。,"[('5G', 0.3919595902590164), ('部署', 0.22000005303737705), ('25', 0.1959797951295082), ('赛灵思', 0.1959797951295082), ('2019', 0.1959797951295082)]"
7,微软在MWC推出一款面向开发者的人工智能相机,2月25日消息，微软在2019西班牙巴塞罗那世界移动大会（MWC）期间推出了一款面向开发者的人工智能相机「Azure Kinect」，售价399 美元，即日起可预订。据介绍，该系统拥有一个100 像素的摄像头，一个1200万像素的摄像头和一个7麦克风阵列。Azure Kinect将HoloLens 2中的深度感应摄像头技术与圆形麦克风阵列和彩色摄像头相结合，并搭配以Microsoft Azure中的人工智能服务。它可以帮助开发者建立新的感知功能，如根据锯子的声音识别其是否属于危险的运行情况，支持机器人在装箱时判断距离，或者是识别从商店货架中选择的物品。Azure Kinect 的早期用户包括AVA Retail，以实现自助结账和「随时随地购物」，以及Ocuvera。,"[('Azure', 0.4981153126208333), ('摄像头', 0.4196681773125), ('Kinect', 0.373586484465625), ('像素', 0.23317973856041666), ('开发者', 0.22938137279375)]"
8,创维数字:与百度Duer OS AI系统在智能OTT盒子&音响上已开始合作,2月25日消息，创维数字在互动平台回复投资者提问时称，公司与百度Duer OS AI系统在智能OTT盒子&音响上已开始人工智能及应用生态的合作，汽车电子与百度Carlife、地图导航、语音交互及在线应用等合作。深圳市酷开网络科技有限公司是公司控股股东深圳创维-RGB电子有限公司旗下主营电视OTT终端系统内容运营与服务的公司，不在创维数字上市公司体系内。（证券时报）,"[('创维', 0.45151604972285714), ('OTT', 0.37951642866349206), ('百度', 0.27661243956000003), ('数字', 0.20556570682380954), ('25', 0.18975821433174603)]"
9,MR创企「太若科技」完成1600万美元A+轮融资,MR初创公司太若科技（Nreal）宣布已完成1600万美元的A+轮融资，由光大控股新经济基金团队领投，爱奇艺、顺为资本、华创资本跟投。继2019年1月公布的1500万美元A轮融资（投资方包括顺为资本、华创资本、APlus、新松和爱奇艺）后，太若科技的总融资额已经达到3100万美元。据悉，这家公司将利用新融资来继续产品的研发，团队的扩张，以及针对运营的投资。太若科技曾在CES 2019大会亮相了消费级的太阳眼镜式MR设备Nreal Light。,"[('太若', 0.5123471786957142), ('MR', 0.34156478579714283), ('Nreal', 0.34156478579714283), ('爱奇艺', 0.34156478579714283), ('顺为', 0.34156478579714283)]"
10,腾讯推出游戏AI智能伴侣「腾讯游戏知己」,2月25日消息，腾讯推出「腾讯游戏知己」（原腾讯游戏小悦），这是一款能解决游戏玩家互动，提高玩家活跃留存的产品。知几基于腾讯人工智能技术，利用语音识别、自然语言处理和大数据推荐能力，以玩家伴侣身份在游戏各个阶段向玩家提供轻量化、 个性化、定制化的游戏陪伴服务。（腾讯科技）,"[('腾讯', 0.909665660724), ('玩家', 0.7208262819), ('游戏', 0.718893725692), ('25', 0.23909535005799998), ('小悦', 0.23909535005799998)]"
11,特斯拉Model 3电动车2018年销量称霸全球电动车市场,据悉，特斯拉Model 3去年销量称霸全球电动车市场，比最接近的竞争对手高出约50%。JATO Dynamics Ltd.指出，Model 3推出第一年销量飙升至138000辆左右，击败北汽集团EC系列的约92000辆。它还估计去年全年电动车销量增长约74%，达126万辆。（新浪美股）,"[('Model', 0.597738375145), ('销量', 0.5055456333285), ('电动车', 0.3778398608925), ('称霸全球', 0.3475169413), ('50%', 0.2988691875725)]"
12,辽宁将深入推进100个智能制造及服务试点示范项目,2月23日，辽宁省政府发布《2019年省〈政府工作报告〉任务分解和责任分工方案》，提出辽宁今年将持之以恒打造发展环境最优省，全面推进创新型省份建设；加快沈阳全面创新改革试验区建设，深入推进100个智能制造及智能服务试点示范项目；加快5G商用步伐，提升信息网络、现代物流等基础设施支撑能力。（沈阳日报）,"[('沈阳', 0.26568605270071427), ('智能', 0.25571993901321427), ('辽宁省政府', 0.23584875841785716), ('23', 0.21347799112321428), ('2019', 0.21347799112321428)]"
13,微软HoloLens 2正式发布，售价为3500美元,微软在2019西班牙巴塞罗那世界移动大会（MWC）期间正式发布了HoloLens 2混合现实头戴式显示器。HoloLens 2搭载了特殊版Windows ，并引入了新的手势交互系统，支持在空气中点击、缩放，操作系统，并且加入了人眼追踪功能，用户可以通过注视来完成一些操作。HoloLens 2售价为3500美元，首批预购订单将于夏季开始发货。（界面）,"[('HoloLens', 0.6896981251673077), ('头戴式', 0.2673207240769231), ('缩放', 0.2539909706038462), ('2019', 0.2298993750557692), ('MWC', 0.2298993750557692)]"
14,工程SaaS平台「地厚云图」获数千万元 Pre-A 轮融资,近日，工程基建领域 SaaS 平台「地厚云图」完成数千万元 Pre-A 轮融资，投资方是上市公司用友股份。用友对地厚云图的此轮融资，将强化项目管理 AI 研发与市场拓展，确保其在工程基建领域移动互联网的头部平台产品优势。（投资界）,"[('地厚', 0.6291982896263157), ('用友', 0.5794897839), ('云图', 0.5622000961631578), ('基建', 0.43159126729421055), ('平台', 0.32864949923947373)]"
15,谷歌助手专用按键将进入一系列新手机：包括小米和LG,据美国科技媒体CNET报道，谷歌2月24日在MWC展会上宣布，部分厂商的新手机将配备Google Assistant的实体专用按键，用户按下这种按键就能使用谷歌的数字助手。配备专用Google Assistant按键的新手机包括LG的G8 Thinq和K40、诺基亚的3.2和4.2，还有小米9和Mix 3 5G版，以及TCL和vivo的新手机。（新浪科技）,"[('新手机', 0.6385973655470588), ('按键', 0.5504342864535294), ('Google', 0.46881441187843137), ('Assistant', 0.46881441187843137), ('谷歌', 0.3356213098043137)]"
16,杭州国芯科技完成1.5亿元B轮融资,杭州国芯科技正式宣布获得1.5亿元人民币B轮融资。本轮融资由国投创合国家新兴产业创业投资引导基金领投，创新工场跟投。杭州国芯科技成立于2001年，专注于数字电视、家庭多媒体及人工智能领域的芯片设计和系统方案开发。本轮融资完成后，国芯将进一步加强在芯片、软件、算法等核心技术领域的投入，加速新产品研发，为业界推出更多创新并实用的产品。（投资界）,"[('国芯', 0.5977383751450001), ('芯片', 0.3000945950673334), ('融资', 0.29184925088549996), ('本轮', 0.261075068791), ('杭州', 0.21209049974033334)]"
17,重庆将建新能源汽车智慧物流产业园,重庆将有新能源汽车创新服务的示范基地和集各项功能为一体的“区域中心”。重庆西部物流园今年将投资2亿元，建新能源汽车智慧物流产业园。该园区集新能源汽车体验中心、新能源汽车互联网数据服务及结算中心、新能源汽车仓储分拨中心、新能源汽车锂电池检测中心、新能源汽车充电站、汽车综合检测中心等功能于一体。（重庆日报）,"[('汽车', 0.7398446135471428), ('新能源', 0.6892828483992858), ('中心', 0.5164397505064287), ('重庆', 0.34657382018678573), ('一体', 0.2634684052082143)]"
18,Lyft或于本周启动IPO，目标估值最高250亿美元,据彭博社报道，如果按照预期于本周提交IPO（首次公开招股）申请，美国网约车平台Lyft有可能成为今年一系列即将上市的独角兽公司中的第一家。Lyft最近一轮融资的估值达到151亿美元。消息人士表示，该公司IPO的目标估值为200亿至250亿美元。（新浪科技）,"[('IPO', 0.5313230001288889), ('Lyft', 0.5313230001288889), ('独角兽', 0.2844903414066667), ('网约车', 0.26566150006444444), ('151', 0.26566150006444444)]"
19,「蓝箭航天」成功突破激光焊接夹层喷管技术,近日，国内商业航天企业蓝箭航天宣布，其自主研发的“天鹊”（TQ-12）80吨液氧甲烷发动机喷管夹层激光焊接一次成功，首台80吨发动机喷管顺利下线，蓝箭动力团队攻克了激光焊接夹层喷管技术难题。激光焊接夹层喷管技术实现了大型喷管机器人全自动激光焊接，为国内首创，并已完成了发明技术专利申报。,"[('喷管', 0.9345259328125), ('焊接', 0.6032397526157143), ('激光', 0.5574895063957143), ('夹层', 0.5086049145380357), ('蓝箭', 0.42695598224642856)]"
20,彭博：金融壹账通最快下半年赴港IPO,今日彭博社援引消息人士称，中国平安旗下金融壹帐通（OneConnect）最快下半年赴港 IPO，拟筹资 10 亿美元。事实上，自去年1月底平安集团内部「四独角兽」之一平安好医生赴港IPO之际，就有市场消息称，同为独角兽之一的金融壹账通也在规划分拆上市事项，可能在年内登陆资本市场。此后关于金融壹账通何时上市一直被市场猜测不断，包括最近一次即本月中旬壹钱包和壹账通双「壹」合并做大估值为上市铺路传言，引来多方关注与热议。据公开资料显示，金融壹账通于2018年初完成A轮融资，投资方包括SBI Holdings、软银愿景基金和IDG Ventures等机构，投后估值75亿美金。据彭博社此次报道，目前金融壹账通估值为80亿美元，与此前相比略有涨幅。,"[('账通', 0.3290302982449541), ('金融', 0.24085795180412845), ('独角兽', 0.23490028189541284), ('IPO', 0.21935353216330275), ('壹账', 0.21935353216330275)]"
21,中兴通讯徐峰：5G将会加速消费物联网和工业物联网的数字化变革,中兴通讯高级副总裁兼终端事业部CEO徐峰2月25日在世界移动大会上表示，5G将会加速消费物联网和工业物联网的数字化变革。在消费物联网领域，5G跃升个人和家庭数字化体验，消费互联网、家庭和个人生活将实现无缝智慧互联。在工业物联网领域，5G使能全社会数字化，海量互联网连接将促进产业全面数字化。,"[('5G', 0.6766849529943396), ('数字化', 0.6679865392249057), ('联网', 0.5536160514671699), ('消费', 0.29896132951018867), ('互联网', 0.26875066997320757)]"
22,菜鸟上线「智能供应链大脑」，为雀巢打造可以看见的供应链,2月21日，菜鸟和雀巢合作打造的「智能供应链大脑」正式上线。菜鸟「智能供应链大脑」最大的特点是可视化、智能，以前需要调配大量人力进行数据获取分析的工作，现在每天起床后拿出手机，全盘供应链信息一览无余。哪些货好卖，哪里库存需要补充，调拨数量多少件，吃个早餐的功夫就能完成决策。,"[('供应链', 0.5485862749100001), ('菜鸟', 0.4820094015490196), ('智能', 0.4211857819041177), ('大脑', 0.31065850537529416), ('21', 0.23440720593921568)]"
23,全球100位医疗AI领袖，中国仅两人入选，AI人才大战一触即发,近日，知名投资机构深度知识（Deep Knowledge Ventures）发布了《2018年第四季度AI在药物研发中的应用报告》，《报告》总结了2018年100位最具创新力和创业精神的AI企业家，他们致力于制药和医疗保健行业向数据驱动的转型。全球制药和医疗行业AI领域的顶尖领袖的国家分布具体为，美国有68位，英国13位，中国2位，加拿大5位，瑞士4位，爱尔兰2位，瑞典、荷兰、比利时、澳洲、法国、西班牙各有1位，总计100位。在制药和医疗研发领域，美国和英国仍然拥有数量最多的顶级人工智能专家，这或许并不令人意外。需要特别注意的是中国，虽然评选结果只有2名，但在AI驱动的制药和医疗研究方面的潜力是最大的。入选中国专家为碳云智能王俊、腾讯优图实验室郑冶枫。实际中国有三人，还有腾讯人工智能实验室主任范伟，因工作地点原因被划分在美国。,"[('AI', 0.40524635603050846), ('制药', 0.26637440062), ('2018', 0.20262317801525423), ('100', 0.20262317801525423), ('医疗', 0.16720797675686438)]"
24,筋斗云自动驾驶无人车与康师傅达成合作,2月25日消息，筋斗云无人车与康师傅达成合作，筋斗云无人车通过视觉算法技术的自动驾驶，现场实现了自动回到康师傅站点补货，取代人力成本。此次活动现场签下了十多家实体超市和快消品品牌商，接下来，筋斗云将开始在新物流/新零售有更深的布局。,"[('筋斗云', 0.7266135906160975), ('康师傅', 0.5090215487414634), ('无人', 0.3375449712804878), ('自动', 0.3161608326370732), ('现场', 0.30791970607999997)]"
25,恒锋工具：拟3.53亿元建设智能制造优化升级改造项目,恒锋工具2月25日午间发布拟投资建设智能制造优化升级改造项目的公告，拟以自有资金及自筹资金在浙江省海盐县武原镇新桥北路239号老厂区及河对岸新厂区投资建设智能制造优化升级改造项目。项目投资额度约3.53亿元，根据项目实施进展分期投入，最终项目开支以实际投资为准。,"[('项目', 0.4606443766150943), ('投资', 0.2935981850407547), ('智能', 0.27019465254226416), ('优化', 0.2587083975415094), ('升级', 0.25433327340792455)]"
26,杭州国芯科技完成1.5亿元B轮融资,杭州国芯科技正式宣布获得1.5亿元人民币B轮融资。本轮融资由国投创合国家新兴产业创业投资引导基金领投，创新工场跟投。据悉，杭州国芯科技成立于2001年，专注于数字电视、家庭多媒体及人工智能领域的芯片设计和系统方案开发；同时公司深耕人工智能领域，率先推出面向物联网的人工智能芯片，拥有自主研发的神经网络处理器、指令集及编译器等核心技术。据悉，本轮融资完成后，国芯将进一步加强在芯片、软件、算法等核心技术领域的投入，加速新产品研发，为业界推出更多创新并实用的产品。,"[('国芯', 0.44830378135874993), ('人工智能', 0.354675989830875), ('芯片', 0.33760641945075), ('核心技术', 0.2203270329185), ('融资', 0.21888693816412502)]"
27,胰岛素使用的导航仪，d-Nav胰岛素管理APP通过FDA审批,近日，d-Nav手机APP通过了美国FDA 510(k)类医疗器械审批，成为首个用于用于指导个性化胰岛素使用的处方类医疗器械APP。2型糖尿病患者有望借助这款产品，更准确地控制糖尿病病情。作为首款获FDA批准的胰岛素管理手机APP，d-Nav手机应用适用于各种不同的胰岛素治疗方案，并可以个性化滴定胰岛素剂量，优化患者胰岛素的使用情况。不止于此，该APP还是首款能连接血糖检测仪并将数据储存在云端的胰岛素管理应用。Hygieia是一家致力于数字化胰岛素管理的公司，新获批的手机APP会成为Hygieia旗下胰岛素指导服务d-Nav的一部分。d-Nav服务采用了胰岛素滴定算法，可以根据病人实时的血糖水平调节胰岛素的使用量。同时，d-Nav服务使用云存储技术以便于医疗人员远程了解患者的血糖水平和胰岛素使用情况，加强医患之间的联系。,"[('胰岛素', 0.778739258634065), ('Nav', 0.48596615865447157), ('APP', 0.48596615865447157), ('血糖', 0.20748902696634147), ('手机', 0.20070965294699186)]"
28,中兴通讯徐峰：5G将会加速消费物联网和工业物联网的数字化变革,中兴通讯高级副总裁兼终端事业部CEO徐峰2月25日在世界移动大会上表示，5G将会加速消费物联网和工业物联网的数字化变革。在消费物联网领域，5G跃升个人和家庭数字化体验，消费互联网、家庭和个人生活将实现无缝智慧互联。在工业物联网领域，5G使能全社会数字化，海量互联网连接将促进产业全面数字化。,"[('5G', 0.6766849529943396), ('数字化', 0.6679865392249057), ('联网', 0.5536160514671699), ('消费', 0.29896132951018867), ('互联网', 0.26875066997320757)]"
29,杭州国芯科技完成1.5亿元B轮融资,杭州国芯科技正式宣布获得1.5亿元人民币B轮融资。本轮融资由国投创合国家新兴产业创业投资引导基金领投，创新工场跟投。据悉，杭州国芯科技成立于2001年，专注于数字电视、家庭多媒体及人工智能领域的芯片设计和系统方案开发；同时公司深耕人工智能领域，率先推出面向物联网的人工智能芯片，拥有自主研发的神经网络处理器、指令集及编译器等核心技术。据悉，本轮融资完成后，国芯将进一步加强在芯片、软件、算法等核心技术领域的投入，加速新产品研发，为业界推出更多创新并实用的产品。,"[('国芯', 0.44830378135874993), ('人工智能', 0.354675989830875), ('芯片', 0.33760641945075), ('核心技术', 0.2203270329185), ('融资', 0.21888693816412502)]"
30,Qualcomm Technologies和博世宣布就工业物联网展开5G NR研究合作,"2019年2月25日，Qualcomm Incorporated子公司Qualcomm Technologies, Inc. 和罗伯特·博世有限公司（Robert Bosch GmbH）宣布展开研究合作，重点关注工业物联网（IIoT）领域的5G新空口（5G NR）技术应用。利用Qualcomm Technologies世界级的5G NR技术专长和博世数十年的工业自动化经验和技术，双方已经完成关于工业环境无线信道的联合研究，分析工业类场所独特的无线载波特性。接下来双方计划在博世的一家制造工厂中开展基于5G NR工业物联网应用的OTA试验。该试验将重点研究Release 15 5G-NR在现有工业用例中的适用性，并对全新类型的URLLC服务进行评估，该类服务是5G NR所支持的广泛服务之一，可通过无线工业以太网控制关键业务型机械。上述试验还将探索5G NR与工业网络和机器的紧密集成。作为5G网联工业与自动化联盟（5G-ACIA）成员，Qualcomm Technologies和博世正合作推动5G技术发展，以满足工业需求。","[('5G', 0.8539119644928571), ('NR', 0.5123471786957142), ('Qualcomm', 0.34156478579714283), ('博世', 0.32616488577714287), ('工业', 0.3257870266092857)]"
31,彭博：金融壹账通最快下半年赴港IPO,今日彭博社援引消息人士称，中国平安旗下金融壹帐通（OneConnect）最快下半年赴港 IPO，拟筹资 10 亿美元。事实上，自去年1月底平安集团内部「四独角兽」之一平安好医生赴港IPO之际，就有市场消息称，同为独角兽之一的金融壹账通也在规划分拆上市事项，可能在年内登陆资本市场。此后关于金融壹账通何时上市一直被市场猜测不断，包括最近一次即本月中旬壹钱包和壹账通双「壹」合并做大估值为上市铺路传言，引来多方关注与热议。据公开资料显示，金融壹账通于2018年初完成A轮融资，投资方包括SBI Holdings、软银愿景基金和IDG Ventures等机构，投后估值75亿美金。据彭博社此次报道，目前金融壹账通估值为80亿美元，与此前相比略有涨幅。,"[('账通', 0.3290302982449541), ('金融', 0.24085795180412845), ('独角兽', 0.23490028189541284), ('IPO', 0.21935353216330275), ('壹账', 0.21935353216330275)]"
32,兖州：智慧气象元素融入「三下乡」活动,近日，山东省济宁市兖州区「三下乡」惠民活动在新兖镇牛楼社区举办。气象部门作为科技农业示范区的「主力军」，向公众展示了智慧气象保障现代农业发展的新举措，包括农田小气候监测站将大棚内光照强度、二氧化碳浓度和土壤状况等数据实时显示并自动分析，提升现代农业园区科学化管理水平；预报预警信息有效促进农作物增产增收，变「靠天吃饭」为「看天管理」，减轻灾害性天气影响；直通式服务惠及更多农户，气象服务产品类别更加丰富。,"[('现代农业', 0.2826534767891177), ('气象', 0.2243470778067647), ('直通式', 0.19422838928529412), ('光照强度', 0.18403504839558824), ('增产增收', 0.17807232621617647)]"
33,谷歌与Aravind眼科医院合作使用AI检测眼疾,谷歌的AI研究部门和 Alphabet 生命科学部门 Verily 正在利用机器学习来筛查糖尿病性视网膜病变和糖尿病性黄斑水肿，这两种情况均可导致失明。他们的目标是实现自动筛查，以便更快地发现疾病，并为更多人提供筛查机会。研究表明，该算法在评估疾病图像方面可以做到与普通眼科医生和视网膜专家一样好。据介绍，谷歌与印度的 Aravind 眼科医院的「首次使用该算法进行真实世界的临床试验」。Aravind相关负责人表示，「通过将 Verily 和谷歌的视网膜诊断程序整合到我们的筛查过程中，我们可以提高效率，让像我这样的医生有更多的时间与患者密切合作治疗和管理疾病，同时增加我们可以进行的筛查量」。,"[('筛查', 0.525821116026923), ('视网膜', 0.2922107159195604), ('谷歌', 0.28214318901131863), ('Verily', 0.2627421429208791), ('Aravind', 0.2627421429208791)]"
