,heading,content,keyword
0,MWC 2019 | 华为发布全球首款5G折叠屏手机Mate X，售价约合17500元,刚刚，在华为MWC 2019全球产品发布会上，华为发布全球首款5G折叠屏手机HUAWEI Mate X，售价2299欧元（约合17500元）。HUAWEI Mate X搭载了华为最强的5G多模终端芯片——7nm巴龙5000和麒麟980芯片⁴。创新的折叠屏设计，实现了镜像智拍、双屏预览。后置摄像头可以作为前置摄像头使用，提供了全新的自拍方式。据华为消费者业务CEO余承东介绍，Mate X是全球最快的5G智能手机，内置的基带为华为首发的Balong 5000，同时兼容2G、3G、4G网络，峰值下载速率可达4.6Gbps，是4G LTE可体验速率的10倍。此外，华为在MWC 2019上并不会发布P30，而将会于3月26号在巴黎发布。,"[('华为', 0.6018415599042425), ('5G', 0.36226568190606057), ('Mate', 0.36226568190606057), ('MWC', 0.2415104546040404), ('2019', 0.2415104546040404)]"
1,辽宁将深入推进100个智能制造及服务试点示范项目,2月23日，辽宁省政府发布《2019年省〈政府工作报告〉任务分解和责任分工方案》，提出辽宁今年将持之以恒打造发展环境最优省，全面推进创新型省份建设；加快沈阳全面创新改革试验区建设，深入推进100个智能制造及智能服务试点示范项目；加快5G商用步伐，提升信息网络、现代物流等基础设施支撑能力。,"[('智能', 0.2651910478655556), ('辽宁省政府', 0.2445838976185185), ('23', 0.22138458338703704), ('2019', 0.22138458338703704), ('年省', 0.22138458338703704)]"
2,工业机器人技术逐步成熟 英国销量却在下降,根据英国自动化与机器人协会公布的数据，去年英国销售的新型工业机器人比2017年下降了15％。如果不包括汽车行业的市场，英国去年售出856台工业机器人，相比2017年988架时减少了13％。英国平均每万名工人安装42台工业机器人，远远落后其它欧洲国家，工业机器人使用密度德国为191台，瑞典180台，法国是89台，西班牙为87台。,"[('机器人', 0.7438721625175438), ('2017', 0.4194655264175438), ('工业', 0.3556349608210526), ('英国', 0.3527276921677193), ('15', 0.2097327632087719)]"
3,北京移动携手华为完成了中日友好医院5G室内数字化系统部署,近日，北京移动携手华为完成了中日友好医院5G室内数字化系统部署，为移动查房、移动护理、移动检测、移动会诊等应用提供了5G网络环境，为后期院方进行5G远程医疗新模式的探索与实践也打下了基础。对于今后首批拥有5G手机的市民来说，这也为其提供了相应的5G信号。据悉，此次三方的合作，是远程医疗解决方案在示范应用方面的一大进步，具有重大意义。,"[('5G', 0.9640941534596774), ('移动', 0.5268014488435484), ('远程', 0.2616360477767742), ('医疗', 0.21215635760548388), ('中日友好医院', 0.20648492521451614)]"
4,作为金融科技的分支，监管科技有望成为下个投融资风口,"2017年5月，中国人民银行官网公布成立了金融科技（FinTech）委员会，旨在加强金融科技工作的研究规划和统筹协调。公告认为金融科技是技术驱动的金融创新，为金融发展注入了新的活力，也给金融安全带来了新挑战。中国人民银行金融科技委员会将强化监管科技（RegTech）应用实践，积极利用大数据、人工智能、云计算等技术丰富金融监管手段，提升跨行业、跨市场交叉性金融风险的甄别、防范和化解能力。这也是中国金融监管部门首次就监管科技正式对外提出RegTech的表述。实际上自从2008年金融危机以来，各国对金融机构的监管都趋于严厉，金融机构也不得不在合规领域上投入前所未有的人力、物力，监管科技应运而生。作为金融科技的一个分支，监管科技是科技与金融监管全方位融合的产物。随着2017年5月中国人民银行金融科技委员会的成立，我国监管科技开始从讨论阶段走向了实质性的制度化和具体运用阶段。2018年8月,证监会正式印发《中国证监会监管科技总体建设方案》，明确了监管科技1.0、2.0、3.0各类信息化建设工作需求和内容，明确了五大基础数据分析能力、七大类32个监管业务分析场景，提出了大数据分析中心建设原则、数据资源管理工作思路和监管科技运行管理「十二大机制」。","[('科技', 0.5086286069834302), ('监管', 0.34888269353720924), ('金融', 0.30527345054244187), ('中国人民银行', 0.14162675818918605), ('2017', 0.13900892445232557)]"
5,辽宁将深入推进100个智能制造及服务试点示范项目,2月23日，辽宁省政府发布《2019年省〈政府工作报告〉任务分解和责任分工方案》，提出辽宁今年将持之以恒打造发展环境最优省，全面推进创新型省份建设；加快沈阳全面创新改革试验区建设，深入推进100个智能制造及智能服务试点示范项目；加快5G商用步伐，提升信息网络、现代物流等基础设施支撑能力。,"[('智能', 0.2651910478655556), ('辽宁省政府', 0.2445838976185185), ('23', 0.22138458338703704), ('2019', 0.22138458338703704), ('年省', 0.22138458338703704)]"
